"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)","Var% IPCA - Índice de Preços ao Consumidor Ampliado (%)"
"09/2019","2,53","0,63","-136,36"
"10/2019","-0,85","-3,85","-350,00"
"11/2019","1,67","5,49","410,00"
"12/2019","-1,10","-4,58","125,49"
"01/2020","0,97","5,92","-81,74"
"02/2020","4,62","5,37","19,05"
"03/2020","12,51","15,56","-72,00"
"04/2020","9,04","4,39","-542,86"
"05/2020","5,97","-0,01","22,58"
"06/2020","-7,92","0,92","-168,42"
"07/2020","1,61","-4,98","38,46"
"08/2020","3,43","5,15","-33,33"
"09/2020","-1,13","3,10","166,67"
"10/2020","4,19","2,32","34,37"
"11/2020","-3,70","-7,63","3,49"
"12/2020","-5,03","-2,53","51,69"
"01/2021","4,09","5,37","-81,48"
"02/2021","1,12","0,99","244,00"
"03/2021","4,24","3,02","8,14"
"04/2021","-1,49","-5,16","-66,67"
"05/2021","-4,87","-3,17","167,74"
"06/2021","-4,90","-4,40","-36,14"
"07/2021","2,48","2,39","81,13"
"08/2021","1,84","0,42","-9,38"

"Fonte : Econodados"
"econodados.com.br"
